year,sp500_us_total_return,portfolio_100_0_synthetic,portfolio_70_30_synthetic,portfolio_50_50_synthetic,portfolio_30_70_synthetic,portfolio_15_85_synthetic,balanced_60_40_synthetic,conservative_40_60_synthetic,months_observed,source
1930,-0.24010816,-0.24010816,-0.15907571,-0.10505408,-0.05103245,-0.01051622,-0.13206490,-0.07804327,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1931,-0.41775913,-0.41775913,-0.28343139,-0.19387957,-0.10432774,-0.03716387,-0.23865548,-0.14910365,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1932,-0.11046366,-0.11046366,-0.06832456,-0.04023183,-0.01213910,0.00893045,-0.05427819,-0.02618546,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1933,0.54416942,0.54416942,0.38991859,0.28708471,0.18425082,0.10712541,0.33850165,0.23566777,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1934,-0.02802752,-0.02802752,-0.01061926,0.00098624,0.01259175,0.02129587,-0.00481651,0.00678899,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1935,0.47015902,0.47015902,0.33811132,0.25007951,0.16204771,0.09602385,0.29409541,0.20606361,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1936,0.35750471,0.35750471,0.25925330,0.19375235,0.12825141,0.07912571,0.22650282,0.16100188,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1937,-0.31929882,-0.31929882,-0.21450917,-0.14464941,-0.07478965,-0.02239482,-0.17957929,-0.10971953,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1938,0.22484346,0.22484346,0.16639042,0.12742173,0.08845304,0.05922652,0.14690608,0.10793739,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1939,0.02010197,0.02010197,0.02307138,0.02505098,0.02703059,0.02851530,0.02406118,0.02604079,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1940,-0.09665147,-0.09665147,-0.05865603,-0.03332573,-0.00799544,0.01100228,-0.04599088,-0.02066059,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1941,-0.10741952,-0.10741952,-0.06619366,-0.03870976,-0.01122586,0.00938707,-0.05245171,-0.02496781,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1942,0.17159844,0.17159844,0.12911891,0.10079922,0.07247953,0.05123977,0.11495906,0.08663938,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1943,0.27003249,0.27003249,0.19802274,0.15001625,0.10200975,0.06600487,0.17401950,0.12601300,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1944,0.20018298,0.20018298,0.14912808,0.11509149,0.08105489,0.05552745,0.13210979,0.09807319,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1945,0.38139571,0.38139571,0.27597699,0.20569785,0.13541871,0.08270936,0.24083742,0.17055828,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1946,-0.09086012,-0.09086012,-0.05460208,-0.03043006,-0.00625804,0.01187098,-0.04251607,-0.01834405,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1947,0.04482154,0.04482154,0.04037508,0.03741077,0.03444646,0.03222323,0.03889292,0.03592862,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1948,0.06871392,0.06871392,0.05709975,0.04935696,0.04161418,0.03580709,0.05322835,0.04548557,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1949,0.16467655,0.16467655,0.12427359,0.09733828,0.07040297,0.05020148,0.11080593,0.08387062,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1950,0.27872082,0.27872082,0.20410458,0.15436041,0.10461625,0.06730812,0.17923249,0.12948833,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1951,0.26797984,0.26797984,0.19658589,0.14898992,0.10139395,0.06569698,0.17278790,0.12519193,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1952,0.17921624,0.17921624,0.13445137,0.10460812,0.07476487,0.05238244,0.11952974,0.08968649,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1953,0.00988671,0.00988671,0.01592070,0.01994336,0.02396601,0.02698301,0.01793203,0.02195469,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1954,0.48055539,0.48055539,0.34538877,0.25527770,0.16516662,0.09758331,0.30033324,0.21022216,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1955,0.34953267,0.34953267,0.25367287,0.18976634,0.12585980,0.07792990,0.22171960,0.15781307,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1956,0.06312095,0.06312095,0.05318466,0.04656047,0.03993628,0.03496814,0.04987257,0.04324838,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1957,-0.09658917,-0.09658917,-0.05861242,-0.03329458,-0.00797675,0.01101162,-0.04595350,-0.02063567,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1958,0.37779371,0.37779371,0.27345560,0.20389685,0.13433811,0.08216906,0.23867623,0.16911748,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1959,0.13915392,0.13915392,0.10640774,0.08457696,0.06274618,0.04637309,0.09549235,0.07366157,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1960,-0.00434906,-0.00434906,0.00595566,0.01282547,0.01969528,0.02484764,0.00939056,0.01626037,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1961,0.30095067,0.30095067,0.21966547,0.16547533,0.11128520,0.07064260,0.19257040,0.13838027,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1962,-0.09720898,-0.09720898,-0.05904628,-0.03360449,-0.00816269,0.01091865,-0.04632539,-0.02088359,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1963,0.22189225,0.22189225,0.16432457,0.12594612,0.08756767,0.05878384,0.14513535,0.10675690,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1964,0.16576524,0.16576524,0.12503567,0.09788262,0.07072957,0.05036479,0.11145915,0.08430610,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1965,0.12542346,0.12542346,0.09679642,0.07771173,0.05862704,0.04431352,0.08725407,0.06816938,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1966,-0.08333880,-0.08333880,-0.04933716,-0.02666940,-0.00400164,0.01299918,-0.03800328,-0.01533552,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1967,0.20939609,0.20939609,0.15557726,0.11969804,0.08381883,0.05690941,0.13763765,0.10175844,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1968,0.15201449,0.15201449,0.11541014,0.09100724,0.06660435,0.04830217,0.10320869,0.07880580,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1969,-0.11670511,-0.11670511,-0.07269358,-0.04335256,-0.01401153,0.00799423,-0.05802307,-0.02868205,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1970,0.02687275,0.02687275,0.02781092,0.02843637,0.02906182,0.02953091,0.02812365,0.02874910,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1971,0.13653053,0.13653053,0.10457137,0.08326527,0.06195916,0.04597958,0.09391832,0.07261221,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
